year,state,office,type,party,name,vote_g,inc,nextup
2024,DE,G,G,R,"RAMONE, MICHAEL (MIKE) J.",219050,0,2028
2024,DE,G,G,D,"MEYER, MATTHEW (MATT) STEPHEN",279585,0,2028
2024,IN,G,G,R,"BRAUN, MIKE",1561279,0,2028
2024,IN,G,G,D,"MCCORMICK, JENIFFER",1179967,0,2028
2024,MO,G,G,R,"KEHOE, MICHAEL LEO",1746317,0,2028
2024,MO,G,G,D,"QUADE, CRYSTAL",1141152,0,2028
2024,MT,G,G,R,"GIANFORTE, GREG",354448,1,2028
2024,MT,G,G,D,"BUSSE, RYAN",232547,0,2028
2024,MT,G,G,Lbt,"LEIB, KAISER",15191,0,2028
2024,NH,G,G,R,"AYOTTE, KELLY A.",435400,0,2028
2024,NH,G,G,D,"CRAIG, JOYCE",360068,0,2028
2024,NC,G,G,R,"ROBINSON, MARK KEITH",2241309,0,2028
2024,NC,G,G,D,"STEIN, JOSHUA HAROLD",3069496,0,2028
2024,NC,G,G,Lbt,"ROSS, MIKE",176392,0,2028
2024,NC,G,G,Constitution,"SMITH, VINNY",54738,0,2028
2024,NC,G,G,Grn,"TURNER, WAYNE",49612,0,2028
2024,ND,G,G,R,"ARMSTRONG, KELLY",247056,0,2028
2024,ND,G,G,D,"PIEPKORN, MERRILL",94043,0,2028
2024,ND,G,G,I,"COACHMAN, MICHAEL",20322,0,2028
2024,UT,G,G,R,"COX, SPENCER JAMES",781431,1,2028
2024,UT,G,G,D,"KING, BRIAN STEPHEN",420513,0,2028
2024,UT,G,G,I,"LYMAN, PHILLIP (PHIL) KAY",200551,0,2028
2024,UT,G,G,Lbt,"LATHAM, J. ROBERT",41164,0,2028
2024,UT,G,G,Other,"WILLIAMS, TOMMY",27480,0,2028
2024,VT,G,G,R,"SCOTT, PHILLIP B. (PHIL)",266439,1,2026
2024,VT,G,G,D,"CHARLESTIN, ESTHER",79217,0,2026
2024,VT,G,G,I,"HOYT, KEVIN",9368,0,2026
2024,VT,G,G,I,"GOODBAND, JUNE",4512,0,2026
2024,VT,G,G,I,"MUTINO, ELI (POA)",2414,0,2026
2024,VT,G,G,W-I,W-I,891,0,2026
2024,WA,G,G,R,"REICHERT, DAVID GEORGE (DAVE)",1709818,0,2028
2024,WA,G,G,D,"FERGUSON, ROBERT (BOB) W.",2143368,0,2028
2024,WA,G,G,W-I,W-I,8202,0,2028
2024,WV,G,G,R,"MORRISEY, PATRICK J.",459300,0,2028
2024,WV,G,G,D,"WILLIAMS, STEPHEN (STEVE) T.",233976,0,2028
