year,state,party,name,inc,party_formal,candidatevotes
2008,AK,D,"OBAMA, BARACK",0,D,123594
2008,AK,Lbt,"BARR, BOB",0,Lbt,1589
2008,AK,Other,"BALDWIN, CHARLES (CHUCK)",0,Alaskan Independence Party,1660
2008,AK,Other,"NADER, RALPH",0,Independent,3783
2008,AK,R,"MCCAIN, JOHN S.",0,R,193841
2008,AL,D,"OBAMA, BARACK",0,D,813479
2008,AL,Other,NA,0,Independent,16089
2008,AL,R,"MCCAIN, JOHN S.",0,R,1266546
2008,AR,D,"OBAMA, BARACK",0,D,422310
2008,AR,Lbt,"BARR, BOB",0,Lbt,4776
2008,AR,Other,"BALDWIN, CHARLES (CHUCK)",0,Constitution Party,4023
2008,AR,Other,"LA RIVA, GLORIA ESTELLA",0,Socialism And Liberation Party,1139
2008,AR,Other,"MCKINNEY, CYNTHIA",0,Grn,3470
2008,AR,Other,"NADER, RALPH",0,Independent,12882
2008,AR,R,"MCCAIN, JOHN S.",0,R,638017
2008,AZ,D,"OBAMA, BARACK",0,D,1034707
2008,AZ,Lbt,"BARR, BOB",0,Lbt,12555
2008,AZ,Other,"MCKINNEY, CYNTHIA",0,Grn,3406
2008,AZ,Other,"NADER, RALPH",0,Independent,11301
2008,AZ,R,"MCCAIN, JOHN S.",0,R,1230111
2008,CA,D,"OBAMA, BARACK",0,D,8274473
2008,CA,Lbt,"BARR, BOB",0,Lbt,67582
2008,CA,Other,"KEYES, ALAN",0,American Independent Party,40673
2008,CA,Other,"MCKINNEY, CYNTHIA",0,Grn,38774
2008,CA,Other,"NADER, RALPH",0,Peace & Freedom,108381
2008,CA,R,"MCCAIN, JOHN S.",0,R,5011781
2008,CO,D,"OBAMA, BARACK",0,D,1288576
2008,CO,Lbt,"BARR, BOB",0,Lbt,10897
2008,CO,Other,"ALLEN, JONATHAN",0,Heartquake '08,348
2008,CO,Other,"AMONDSON, GENE",0,Prohibition,85
2008,CO,Other,"BALDWIN, CHARLES (CHUCK)",0,Constitution Party,6233
2008,CO,Other,"HARRIS, JAMES",0,Socialist Workers,154
2008,CO,Other,"JAY, CHARLES",0,Boston Tea Party,598
2008,CO,Other,"KEYES, ALAN",0,America's Independent Party,3051
2008,CO,Other,"LA RIVA, GLORIA ESTELLA",0,Socialism And Liberation Party,158
2008,CO,Other,"LYTTLE, BRADFORD",0,U.s. Pacifist Party,110
2008,CO,Other,"MCENULTY, FRANK",0,Unaffiliated,828
2008,CO,Other,"MCKINNEY, CYNTHIA",0,Grn,2822
2008,CO,Other,"MOORE, BRIAN",0,Socialist,226
2008,CO,Other,"NADER, RALPH",0,Independent,13350
2008,CO,Other,"STEVENS, THOMAS R.",0,Objectivist Party,336
2008,CO,R,"MCCAIN, JOHN S.",0,R,1073589
2008,CT,D,"OBAMA, BARACK",0,D,997772
2008,CT,Other,"NADER, RALPH",0,Independent,19162
2008,CT,R,"MCCAIN, JOHN S.",0,R,629428
2008,DC,D,"OBAMA, BARACK",0,D,245800
2008,DC,Other,"MCKINNEY, CYNTHIA",0,Grn,590
2008,DC,Other,"NADER, RALPH",0,Independent,958
2008,DC,R,"MCCAIN, JOHN S.",0,R,17367
2008,DE,D,"OBAMA, BARACK",0,D,255459
2008,DE,Lbt,"BARR, BOB",0,Lbt,1109
2008,DE,Other,"BALDWIN, CHARLES (CHUCK)",0,Constitution Party,626
2008,DE,Other,"CALERO, ROGER",0,Socialist Workers,58
2008,DE,Other,"MCKINNEY, CYNTHIA",0,Grn,385
2008,DE,Other,"NADER, RALPH",0,Independent,2401
2008,DE,R,"MCCAIN, JOHN S.",0,R,152374
2008,FL,D,"OBAMA, BARACK",0,D,4282074
2008,FL,Lbt,"BARR, BOB",0,Lbt,17218
2008,FL,Other,"AMONDSON, GENE",0,Prohibition,293
2008,FL,Other,"BALDWIN, CHARLES (CHUCK)",0,Constitution Party,7915
2008,FL,Other,"CALERO, ROGER",0,Socialist Workers,533
2008,FL,Other,"JAY, CHARLES",0,Boston Tea Party,795
2008,FL,Other,"KEYES, ALAN",0,America's Independent Party,2550
2008,FL,Other,"LA RIVA, GLORIA ESTELLA",0,Socialism And Liberation Party,1516
2008,FL,Other,"MCKINNEY, CYNTHIA",0,Grn,2887
2008,FL,Other,"MOORE, BRIAN",0,Socialist,405
2008,FL,Other,"NADER, RALPH",0,Ecology Party Of Florida,28124
2008,FL,Other,"STEVENS, THOMAS R.",0,Objectivist Party,419
2008,FL,R,"MCCAIN, JOHN S.",0,R,4045624
2008,GA,D,"OBAMA, BARACK",0,D,1844123
2008,GA,Lbt,"BARR, BOB",0,Lbt,28731
2008,GA,R,"MCCAIN, JOHN S.",0,R,2048759
2008,HI,D,"OBAMA, BARACK",0,D,325871
2008,HI,Lbt,"BARR, BOB",0,Lbt,1314
2008,HI,Other,"BALDWIN, CHARLES (CHUCK)",0,Constitution Party,1013
2008,HI,Other,"MCKINNEY, CYNTHIA",0,Grn,979
2008,HI,Other,"NADER, RALPH",0,Independent,3825
2008,HI,R,"MCCAIN, JOHN S.",0,R,120566
