year,state,type,runoff,office,name,party,inc,w_g,vote_g,nextup
2020,NC,G,NA,G,"COOPER, ROY A., III",D,1,1,2834790,2024
2020,NC,G,NA,G,"FOREST, DAN",R,0,0,2586604,2024
2020,NC,G,NA,G,"DIFIORE, STEVEN J.",Lbt,0,0,60449,2024
2020,NC,G,NA,G,"PISANO, AL",Constitution,0,0,20934,2024
2020,DE,G,NA,G,"CARNEY, JOHN CHARLES, JR.",D,1,1,292903,2024
2020,DE,G,NA,G,"MURRAY, JULIANNE E.",R,1,0,190312,2024
2020,DE,G,NA,G,"DEMATTEIS, KATHY S.",Independent Party of Delaware,0,0,6150,2024
2020,DE,G,NA,G,"MACHUREK, JOHN J.",Lbt,0,0,3270,2024
2020,VT,G,NA,G,"SCOTT, PHILLIP B. (PHIL)",R,1,1,248412,2022
2020,VT,G,NA,G,"ZUCKERMAN, DAVID E. (DAVE)","D,Progressive",0,0,99214,2022
2020,VT,G,NA,G,"HOYT, KEVIN",I,0,0,4576,2022
2020,VT,G,NA,G,"PEYTON, EMILY",Truth Matters,0,0,3505,2022
2020,VT,G,NA,G,"WHITNEY, ERYNN HAZLETT",I,0,0,1777,2022
2020,VT,G,NA,G,"BILLADO, WAYNE, III",I,0,0,1431,2022
2020,VT,G,NA,G,"DEVOST, MICHAEL A.",I,0,0,1160,2022
2020,VT,G,NA,G,"DICKERSON, CHARLY",Unaffiliated,0,0,1037,2022
2020,ND,G,NA,G,"BURGUM, DOUG",R,1,1,235479,2024
2020,ND,G,NA,G,"LENZ, SHELLEY",D,0,0,90789,2024
2020,ND,G,NA,G,"HENDRICKSON, DUWAYNE",Lbt,0,0,13853,2024
2020,ND,G,NA,G,W-I,W-I,0,0,17538,2024
2020,NH,G,NA,G,"SUNUNU, CHRISTOPHER (CHRIS)",R,1,1,516609,2022
2020,NH,G,NA,G,"FELTES, DAN",D,0,0,264639,2022
2020,NH,G,NA,G,"PERRY, DATTYL W.",Lbt,0,0,11329,2022
2020,NH,G,NA,G,W-I,W-I,0,0,683,2022
2020,UT,G,NA,G,"COX, SPENCER JAMES",R,0,1,918754,2024
2020,UT,G,NA,G,"PETERSON, CHRISTOPHER LEWIS",D,0,0,442754,2024
2020,UT,G,NA,G,"COTTAM, DANIEL RHEAD",Lbt,0,0,51393,2024
2020,UT,G,NA,G,"DUERDEN, GREG",Independent American,0,0,25810,2024
2020,IN,G,NA,G,"HOLCOMB, ERIC",R,1,1,1706727,2024
2020,IN,G,NA,G,"MYERS, WOODROW (WOODY)",D,0,0,968094,2024
2020,IN,G,NA,G,"RAINWATER, DONALD G., II",Lbt,0,0,345567,2024
2020,MO,G,NA,G,"GALLOWAY, NICOLE",D,0,0,1225771,2024
2020,MO,G,NA,G,"PARSON, MIKE",R,3,1,1720202,2024
2020,MO,G,NA,G,"COMBS, RIK",Lbt,0,0,49067,2024
2020,MO,G,NA,G,"BAUER, JEROME HOWARD",Grn,0,0,17234,2024
2020,MT,G,NA,G,"GIANFORTE, GREG",R,0,1,328548,2024
2020,MT,G,NA,G,"COONEY, MIKE",D,0,0,250860,2024
2020,MT,G,NA,G,"BISHOP, LYMAN",Lbt,0,0,24179,2024
2020,WV,G,NA,G,"SALANGO, BEN",D,0,0,237024,2024
2020,WV,G,NA,G,"JUSTICE, JAMES (JIM), JR.",R,1,1,497944,2024
2020,WV,G,NA,G,"KOLENICH, ERIKA",Lbt,0,0,22527,2024
2020,WV,G,NA,G,"LUTZ, DANIEL P. (DANNY)",Mountain,0,0,11309,2024
2020,WA,G,NA,G,"INSLEE, JAY ROBERT",D,1,1,2294243,2024
2020,WA,G,NA,G,"CULP, LOREN",R,0,0,1749066,2024
2017,NJ,G,NA,G,"MURPHY, PHILIP (PHIL)",D,0,1,1203110,2021
2017,NJ,G,NA,G,"GUADAGNO, KIM",R,0,0,899583,2021
2017,NJ,G,NA,G,"GENOVESE, GINA",Reduce Property Tax,0,0,12294,2021
2017,NJ,G,NA,G,"ROHRMAN, PETER J.",Lbt,0,0,10531,2021
2017,NJ,G,NA,G,"KAPER-DALE, SETH",Grn,0,0,10053,2021
2017,NJ,G,NA,G,"RICCARDI, MATTHEW",Constitution,0,0,6864,2021
2017,NJ,G,NA,G,"ROSS, VINCENT",We the people,0,0,4980,2021
2017,VA,G,NA,G,"NORTHAM, RALPH",D,0,1,1409175,2021
2017,VA,G,NA,G,"GILLESPIE, EDWARD W. (ED)",R,0,0,1175731,2021
2017,VA,G,NA,G,"HYRA, CLIFFORD",Lbt,0,0,27987,2021
2019,KY,G,NA,G,"BESHEAR, ANDY",D,0,1,709577,2023
2019,KY,G,NA,G,"BEVIN, MATT",R,1,0,704388,2023
2019,KY,G,NA,G,"HICKS, JOHN",Lbt,0,0,28425,2023
2019,LA,G,1,G,"EDWARDS, JOHN BEL",D,1,1,774498,2023
2019,LA,G,1,G,"RISPONE, EDDIE",R,0,0,734286,2023
2019,MS,G,0,G,"HOOD, JIM",D,0,0,414368,2023
2019,MS,G,0,G,"REEVES, JONATHAN (TATE)",R,0,1,459396,2023
2019,MS,G,0,G,"SINGLETARY, DAVID",Independent,0,0,8522,2023
2019,MS,G,0,G,"HICKINGBOTTOM, BOB",Constitution,0,0,2625,2023
2022,AL,G,NA,G,"FLOWERS, YOLANDA ROCHELLE",D,0,0,412961,2026
2022,AL,G,NA,G,"IVEY, KAY E.",R,1,1,946932,2026
2022,AL,G,NA,G,"BLAKE, JAMES (JIMMY)",Lbt,0,0,45958,2026
2022,AK,G,NA,G,"DUNLEAVY, MIKE",R,1,1,132632,2026
2022,AK,G,NA,G,"GARA, LES",D,0,0,63851,2026
2022,AK,G,NA,G,"WALKER, WILLIAM M. (BILL)",Independent,0,0,54668,2026
2022,AK,G,NA,G,"PIERCE, CHARLIE",R,0,0,11817,2026
2022,AZ,G,NA,G,"LAKE, KARI",R,0,0,1270774,2026
2022,AZ,G,NA,G,"HOBBS, KATIE",D,0,1,1287891,2026
2022,AR,G,NA,G,"JONES, CHRIS",D,0,0,319242,2026
2022,AR,G,NA,G,"SANDERS, SARAH HUCKABEE",R,0,1,571105,2026
2022,AR,G,NA,G,"HARRINGTON, RICKY DALE, JR.",Lbt,0,0,16690,2026
2022,CA,G,NA,G,"NEWSOM, GAVIN",D,1,1,6470104,2026
2022,CA,G,NA,G,"DAHLE, BRIAN",R,0,0,4462914,2026
2022,CO,G,NA,G,"GANAHL, HEIDI",R,0,0,983040,2026
2022,CO,G,NA,G,"POLIS, JARED",D,1,1,1468481,2026
2022,CO,G,NA,G,"FIORINO, PAUL NOEL",Unity,0,0,6687,2026
2022,CO,G,NA,G,"NEUSCHWANGER, DANIELLE",Amer Const,0,0,21623,2026
2022,CO,G,NA,G,"RUSKUSKY, KEVIN",Lbt,0,0,28939,2026
2022,CT,G,NA,G,"LAMONT, EDWARD M. (NED)",D,1,1,691146,2026
2022,CT,G,NA,G,"LAMONT, EDWARD M. (NED)",Griebel Frank,1,1,2865,2026
2022,CT,G,NA,G,"LAMONT, EDWARD M. (NED)",Wk Fam,1,1,16175,2026
2022,CT,G,NA,G,"STEFANOWSKI, BOB",R,0,0,546209,2026
2022,CT,G,NA,G,"HOTALING, ROBERT",Independent,0,0,12400,2026
2022,FL,G,NA,G,"DESANTIS, RONALD D. (RON)",R,1,1,4614210,2026
2022,FL,G,NA,G,"CRIST, CHARLES J. (CHARLIE), JR.",D,0,0,3106313,2026
2022,FL,G,NA,G,"ROOS, HECTOR",Lbt,0,0,19229,2026
2022,FL,G,NA,G,"GIMENEZ, CARMEN JACKIE",Independent,0,0,31577,2026
2022,GA,G,NA,G,"KEMP, BRIAN P.",R,1,1,2111572,2026
2022,GA,G,NA,G,"ABRAMS, STACEY",D,0,0,1813673,2026
2022,GA,G,NA,G,"HAZEL, SHANE",Lbt,0,0,28163,2026
2022,HI,G,NA,G,"GREEN, JOSH",D,0,1,261025,2026
2022,HI,G,NA,G,"AIONA, JAMES R. (DUKE), JR.",R,0,0,152237,2026
2022,ID,G,NA,G,"LITTLE, BRAD",R,1,1,358598,2026
2022,ID,G,NA,G,"HEIDT, STEPHEN",D,0,0,120160,2026
