state,year,office,dist,type,nextup,party,name,inc,vote_g,w_g,u_g,runoff,party_formal
CA,2008,H,12,S,2008,D,"MCMURRY, MICHELLE T.",0,4546,0,0,,D
CA,2008,H,12,S,2008,R,"CONLON, PHILLIP GREGORY (GREG)",0,7990,0,0,,R
CA,2008,H,12,S,2008,R,"MOLONEY, MICHAEL J. (MIKE)",0,4517,0,0,,R
CA,2008,H,12,S,2008,Grn,"HERMANSON, BARRY",0,1947,0,0,,Grn
CA,2008,H,12,S,2008,Lbt,"PETERSON, KEVIN DEMPSEY",0,2,0,0,,Lbt
HI,2010,H,1,S,2010,D,"HANABUSA, COLLEEN WAKAKO",0,52802,0,0,,D
HI,2010,H,1,S,2010,D,"CASE, EDWARD ESPENETT (ED)",0,47391,0,0,,D
HI,2010,H,1,S,2010,D,"DEL CASTILLO, RAFAEL (DEL)",0,664,0,0,,D
HI,2010,H,1,S,2010,Other,"STRODE, KALAELOA",0,491,0,0,,NPA
HI,2010,H,1,S,2010,Other,"BREWER, JIM",0,273,0,0,,NPA
HI,2010,H,1,S,2010,D,"LEE, PHILMUND (PHIL)",0,254,0,0,,NPA
HI,2010,H,1,S,2010,R,"COLLINS, CHARLES (GOOGIE)",0,194,0,0,,R
HI,2010,H,1,S,2010,R,"AMSTERDAM, C. KAUI JOCHANAN",0,170,0,0,,R
HI,2010,H,1,S,2010,D,"BROWNE, VINNY",0,150,0,0,,D
HI,2010,H,1,S,2010,Other,"TATAII, STEVE R.",0,125,0,0,,NPA
HI,2010,H,1,S,2010,R,"CRUM, DOUGLAS",0,107,0,0,,R
HI,2010,H,1,S,2010,R,"GIUFFRE, JOHN M. (RAGHU) ",0,82,0,0,,R
HI,2010,H,1,S,2010,Other,"MOSELEY, KARL F.",0,80,0,0,,NPA
NJ,2012,H,10,S,2012,Other,"MILLER, JOANNE",0,4500,0,0,,"Change, Change, Change"
LA,2012,H,1,G,2014,R,"KING, GARY",0,24844,0,0,,R
LA,2012,H,1,G,2014,D,"MENDOZA, MANILLO V. (VINNY)",0,61703,0,0,,D
