state,year,office,dist,type,nextup,party,party_formal,name_snyder,inc,vote_g,w_g
NY,2018,S,1,G,2024,D,"D, Wk Fam, I, WE","GILLIBRAND, KIRSTEN ELIZABETH",1,4056931,1
NY,2018,S,1,G,2024,R,"R, Conservative, Reform","FARLEY, CHELE CHIAVACCI",0,1998220,0
NY,2018,H,1,G,2020,D,"D, Wk Fam","GERSHON, PERRY",0,127991,0
NY,2018,H,1,G,2020,R,"R, Conservative, I, Reform","ZELDIN, LEE M.",1,139027,1
NY,2018,H,1,G,2020,WE,WE,"BROWNING, KATE M.",0,2988,0
NY,2018,H,2,G,2020,D,"D, Wk Fam, WE","SHIRLEY, LIUBA GRECHEN",0,113074,0
NY,2018,H,2,G,2020,R,"R, Conservative, I, Reform","KING, PETER T. (PETE)",1,128078,1
NY,2018,H,3,G,2020,D,"D, I, Wk Fam, WE, Reform","SUOZZI, THOMAS R. (TOM)",1,157456,1
NY,2018,H,3,G,2020,R,"R, Conservative","DEBONO, DAN P.",0,109514,0
NY,2018,H,4,G,2020,D,"D, WE","RICE, KATHLEEN M.",1,159535,1
NY,2018,H,4,G,2020,R,"R, Conservative, Reform","BENNO, AMEER N.",0,100571,0
NY,2018,H,6,G,2020,D,"D, Wk Fam, Reform","MENG, GRACE",1,111646,1
NY,2018,H,6,G,2020,G,Green,"HILLGARDNER, THOMAS J.",0,11209,0
NY,2018,H,7,G,2020,D,"D, Wk Fam","VELAZQUEZ, NYDIA M.",1,146687,1
NY,2018,H,7,G,2020,C,Conservative,"LIEBERMAN, JOSEPH",0,8670,0
NY,2018,H,7,G,2020,Reform,Reform,"KURZON, JEFFREY M. (JEFF)",0,1740,0
NY,2018,H,8,G,2020,D,"D, Wk Fam","JEFFRIES, HAKEEM S.",1,180376,1
NY,2018,H,8,G,2020,C,Conservative,"JOHNSON, ERNEST C.",0,9997,0
NY,2018,H,8,G,2020,Reform,Reform,"WHITE, JESSICA L.",0,1031,0
NY,2018,H,9,G,2020,D,"D, Wk Fam","CLARKE, YVETTE DIANE",1,181455,1
NY,2018,H,9,G,2020,R,"R, Conservative","GAYOT, LUTCHI",0,20901,0
NY,2018,H,9,G,2020,Reform,Reform,"ANABILAH-AZUMAH, JOEL",0,779,0
NY,2018,H,10,G,2020,D,"D, Wk Fam","NADLER, JERROLD L. (JERRY)",1,173095,1
NY,2018,H,10,G,2020,R,"R, Conservative, Reform","LEVIN, NAOMI",0,37619,0
NY,2018,H,11,G,2020,D,"D, Wk Fam, WE","ROSE, MAX N.",0,101823,1
NY,2018,H,11,G,2020,R,"R, Conservative, I, Reform","DONOVAN, DANIEL M. (DAN), JR.",1,89441,0
NY,2018,H,11,G,2020,G,Green,"BARDEL, HENRY J. (HANK)",0,774,0
NY,2018,H,12,G,2020,D,"D, Wk Fam, Reform","MALONEY, CAROLYN B.",1,217430,1
NY,2018,H,12,G,2020,R,R,"RABIN, ELIOT",0,30446,0
NY,2018,H,12,G,2020,G,Green,"HUTCHINS, SCOTT",0,3728,0
NY,2018,H,13,G,2020,D,"D, Wk Fam","ESPAILLAT, ADRIANO",1,180035,1
NY,2018,H,13,G,2020,R,"R, Reform","BUTLER, JINEEA R.",0,10268,0
NY,2018,H,15,G,2020,D,"D, Wk Fam","SERRANO, JOSE E.",1,124469,1
NY,2018,H,15,G,2020,R,"R, Conservative","GONZALEZ, JASON D.",0,5205,0
NY,2018,H,16,G,2020,D,"D, Wk Fam, WE","ENGEL, ELIOT L.",1,182044,1
NY,2018,H,17,G,2020,D,"D, Wk Fam, WE","LOWEY, NITA M.",1,170168,1
NY,2018,H,17,G,2020,Reform,Reform,"CIARDULLO, JOSEPH J.",0,23150,0
NY,2018,H,18,G,2020,D,"D, I, Wk Fam, WE","MALONEY, SEAN PATRICK",1,139564,1
