year,st,url
2020,AL,https://www.sos.alabama.gov/sites/default/files/election-2020/Final%20Canvass%20of%20Results-Merged.pdf
2020,AR,Not updated as of 2021-01-25
2020,AK,https://www.elections.alaska.gov/results/20GENR/data/sovc/ElectionSummaryReportRPT24.pdf
2020,AZ,https://results.arizona.vote/#/featured/18/0
2020,CA,https://www.sos.ca.gov/elections/prior-elections/statewide-election-results/general-election-november-3-2020/statement-vote
2020,CO,https://www.sos.state.co.us/pubs/elections/resultsData.html?menuheaders=5
2020,CT,Not updated as of 2021-01-26
2020,DE,https://elections.delaware.gov/results/html/index.shtml?electionId=GE2020
2020,FL,https://results.elections.myflorida.com/Index.asp?ElectionDate=11/3/2020&DATAMODE=
2020,GA,https://results.enr.clarityelections.com/GA/105369/web.264614/#/summary
2020,IA,https://sos.iowa.gov/elections/results/index.html#19
2020,ID,https://sos.idaho.gov/elect/results/2018/General/statewide_totals.html
2020,IL,https://www.elections.il.gov/ElectionOperations/ElectionVoteTotals.aspx?ID=JVM3BFfJbYc%3d&OfficeType=%2brBqro%2b%2bHTUkQvv7Q1tDdQ%3d%3d&T=637288999161781842
2020,IN,https://enr.indianavoters.in.gov/site/index.html
2020,HI,https://elections.hawaii.gov/wp-content/results/histatewide.pdf
2020,KS,https://sos.ks.gov/elections/20elec/2020_General_Official_Vote_Totals.pdf
2020,KY,https://elect.ky.gov/results/2020-2029/Pages/2020.aspx
2020,LA,https://voterportal.sos.la.gov/static/2020-11-03
2020,MA,https://electionstats.state.ma.us/elections/search/date:2020-11-03
2020,ME,https://www.maine.gov/sos/cec/elec/results/results20.html#novtab
2020,MD,https://www.elections.maryland.gov/elections/2020/results/General/index.html
2020,MI,https://mielections.us/election/results/2020GEN_CENR.html
2020,MN,https://www.sos.state.mn.us/elections-voting/election-results/2020/2020-general-election-results/
2020,MO,https://enr.sos.mo.gov/
2020,MS,https://www.sos.ms.gov/Elections-Voting/Pages/2020-General-Election.aspx
2020,MT,https://electionresults.mt.gov//
2020,NC,https://www.ncsbe.gov/results-data/election-results
2020,ND,https://results.sos.nd.gov/ResultsSW.aspx?text=All&type=SW&map=CTY
2020,NE,https://sos.nebraska.gov/sites/sos.nebraska.gov/files/doc/elections/2020/2020-General-Canvass-Book.pdf
2020,NM,https://www.sos.state.nm.us/voting-and-elections/election-results/election-results-2020/
2020,NV,https://silverstateelection.nv.gov/
2020,NH,https://sos.nh.gov/elections/elections/election-results/2020/general-election/
2020,NY,https://www.elections.ny.gov/2020ElectionResults.html
2020,NJ,https://nj.gov/state/elections/election-information-2020.shtml#general
2020,OH,https://www.sos.state.oh.us/elections/election-results-and-data/2020/
2020,OK,https://www.ok.gov/elections/Election_Info/2020_November_General_Election.html
2020,OR,https://sos.oregon.gov/elections/Documents/results/november-general-2020.pdf
2020,RI,https://www.ri.gov/election/results/2020/general_election/
2020,PA,https://www.electionreturns.pa.gov/General/SummaryResults?ElectionID=83&ElectionType=G&IsActive=1
2020,SC,https://www.scvotes.gov/election-results
2020,SD,http://electionresults.sd.gov/resultsSW.aspx?type=SWR&map=CTY
2020,TN,https://sos-tn-gov-files.tnsosfiles.com/Nov%202020%20General%20Totals.pdf
2020,TX,https://results.texas-election.com/races
2020,VA,https://results.elections.virginia.gov/vaelections/2020%20November%20General/Site/Presidential.html
2020,VT,https://sos.vermont.gov/media/heqnbco5/generalofficialresults.pdf
2020,UT,https://electionresults.utah.gov/elections/statewide
2020,WA,https://results.vote.wa.gov/results/20201103/default.htm
2020,WI,https://elections.wi.gov/node/6291
2020,WY,https://sos.wyo.gov/Elections/Docs/2020/Results/General/2020_General_Statewide_Candidates_Summary.pdf
2020,WV,https://results.enr.clarityelections.com/WV/106210/web.264614/#/summary
2018,AL,https://www.sos.alabama.gov/sites/default/files/voter-pdfs/2018/2018-Official-General-Election-Results-Certified-2018-11-27.pdf
2018,AR,https://results.enr.clarityelections.com/AR/92174/Web02-state.216038/#/
2018,CA,https://www.sos.ca.gov/elections/prior-elections/statewide-election-results/general-election-november-6-2018/statement-vote/
2018,CO,https://www.sos.state.co.us/pubs/elections/Results/Abstract/2018/general/index.html
2018,CT,https://authoring.ct.gov/-/media/SOTS/ElectionServices/StatementOfVote_PDFs/2018-SOV.pdf
2018,DE,https://elections.delaware.gov/archive/elect18/elect18_general/html/election.shtml
2018,FL,https://results.elections.myflorida.com/Index.asp?ElectionDate=11/6/2018&DATAMODE=
2018,GA,https://results.enr.clarityelections.com/GA/91639/Web02-state.221451/#/
2018,IA,https://sos.iowa.gov/elections/results/index.html#17
2018,ID,https://sos.idaho.gov/elect/results/2018/General/statewide_totals.html
2018,IL,https://www.elections.il.gov/ElectionOperations/ElectionVoteTotals.aspx?ID=JVM3BFfJbYc%3d&OfficeType=%2brBqro%2b%2bHTUkQvv7Q1tDdQ%3d%3d&T=637288999161781842
2018,IN,https://enr.indianavoters.in.gov/archive/2018General/index.html
2018,HI,http://files.hawaii.gov/elections/files/results/2018/general/histatewide.pdf
2018,KS,https://www.sos.ks.gov/elections/18elec/2018_General_Election_Official_Votes_Cast.pdf
2018,MA,http://www.sec.state.ma.us/ele/eleidx.htm
2018,ME,https://www.maine.gov/sos/cec/elec/results/results18.html#nonrcv
2018,MD,https://www.elections.maryland.gov/elections/2018/index.html
2018,MI,https://mielections.us/election/results/2018GEN_CENR.html
2018,MN,https://www.sos.state.mn.us/elections-voting/election-results/2018/2018-general-election-results/
2018,MO,https://enrarchives.sos.mo.gov/enrnet/?eid=750004333
2018,ND,https://results.sos.nd.gov/ResultsSW.aspx?text=All&type=SW&map=CTY&eid=303
